date,code,spot,futures
2013/1/4,PTA,8700,8568
2013/1/4,PVC,6486.57,6690
2013/1/4,ÆÕÂó,2503.33,2461
2013/1/4,ÃÞ»¨,19158.2,19045
2013/1/4,×ØéµÓÍ,6312.5,7028
2013/1/4,Ïð½º,24779.2,26350
2013/1/4,½¹Ì¿,1632.5,1839
2013/1/4,È¼ÓÍ,5100,5041
2013/1/4,ÓñÃ×,2330.45,2446
2013/1/4,²£Á§,1339.2,1425
2013/1/4,¼×´¼,2919,2819
2013/1/4,°×ÌÇ,5984,5564
2013/1/4,°×Òø,5948.33,6226
2013/1/4,Ïß²Ä,3573,4039
2013/1/4,¾ÛÒÒÏ©,11216.7,10880
2013/1/4,²ËÓÍ,10702,9852
2013/1/4,²Ë×Ñ,5246,5346
2013/1/4,²ËÆÉ,2554.67,2370
2013/1/4,ÂÝÎÆ¸Ö,3731.76,3990
2013/1/4,¶¹Ò»,4520,4740
2013/1/4,¶¹ÓÍ,8990,8768
2013/1/4,¶¹ÆÉ,3963,3248
2013/1/4,Ç¦,14800,15090
2013/1/4,Í­,57495,58360
2013/1/4,ÂÁ,15060,15315
2013/1/4,Ð¿,15750,15540
2013/1/4,»Æ½ð,331.5,336.84
2013/1/7,PTA,8800,8686
2013/1/7,PVC,6478.29,6705
2013/1/7,ÆÕÂó,2504.17,2478
2013/1/7,ÃÞ»¨,19180.2,19225
2013/1/7,×ØéµÓÍ,6362.5,6964
2013/1/7,Ïð½º,25145.8,26075
2013/1/7,½¹Ì¿,1632.5,1816
2013/1/7,È¼ÓÍ,5100,5089
2013/1/7,ÓñÃ×,2330.45,2445
2013/1/7,²£Á§,1336,1445
2013/1/7,¼×´¼,2910,2826
2013/1/7,°×ÌÇ,5964,5659
2013/1/7,°×Òø,6115,6392
2013/1/7,Ïß²Ä,3630,4081
2013/1/7,¾ÛÒÒÏ©,11350,10930
2013/1/7,²ËÓÍ,10715,9790
2013/1/7,²Ë×Ñ,5340,5440
2013/1/7,²ËÆÉ,2554.67,2455
2013/1/7,ÂÝÎÆ¸Ö,3781.18,4004
2013/1/7,¶¹Ò»,4520,4731
2013/1/7,¶¹ÓÍ,8991.67,8688
2013/1/7,¶¹ÆÉ,3861,3267
2013/1/7,Ç¦,14800,15060
2013/1/7,Í­,57530,58220
2013/1/7,ÂÁ,15050,15265
2013/1/7,Ð¿,15700,15380
2013/1/7,»Æ½ð,333.9,338.54
2013/1/8,PTA,8950,8670
2013/1/8,PVC,6479.14,6685
2013/1/8,ÆÕÂó,2512.5,2478
2013/1/8,ÃÞ»¨,19184.5,19225
2013/1/8,×ØéµÓÍ,6337.5,6844
2013/1/8,Ïð½º,25362.5,26180
2013/1/8,½¹Ì¿,1632.5,1833
2013/1/8,È¼ÓÍ,5095,5133
2013/1/8,ÓñÃ×,2342.27,2456
2013/1/8,²£Á§,1332.8,1457
2013/1/8,¼×´¼,2910,2830
2013/1/8,°×ÌÇ,5958,5704
2013/1/8,°×Òø,6108.33,6371
2013/1/8,Ïß²Ä,3632,4081
2013/1/8,¾ÛÒÒÏ©,11350,10755
2013/1/8,²ËÓÍ,10715,9786
2013/1/8,²Ë×Ñ,5313,5413
2013/1/8,²ËÆÉ,2560.67,2480
2013/1/8,ÂÝÎÆ¸Ö,3787.65,4010
2013/1/8,¶¹Ò»,4520,4739
2013/1/8,¶¹ÓÍ,8979.17,8660
2013/1/8,¶¹ÆÉ,3875,3291
2013/1/8,Ç¦,14775,15000
2013/1/8,Í­,57545,58300
2013/1/8,ÂÁ,15040,15240
2013/1/8,Ð¿,15650,15405
2013/1/8,»Æ½ð,331.4,336.53
2013/1/9,PTA,8900,8574
2013/1/9,PVC,6480.57,6700
2013/1/9,ÆÕÂó,2512.5,2506
2013/1/9,ÃÞ»¨,19189.8,19260
2013/1/9,×ØéµÓÍ,6345,6804
2013/1/9,Ïð½º,25354.2,26035
2013/1/9,½¹Ì¿,1632.5,1813
2013/1/9,È¼ÓÍ,5107.5,5107
2013/1/9,ÓñÃ×,2342.27,2444
2013/1/9,²£Á§,1331.2,1476
2013/1/9,¼×´¼,2910,2811
2013/1/9,°×ÌÇ,5944,5647
2013/1/9,°×Òø,6136.67,6429
2013/1/9,Ïß²Ä,3623,4081
2013/1/9,¾ÛÒÒÏ©,11350,10715
2013/1/9,²ËÓÍ,10715,9856
2013/1/9,²Ë×Ñ,5340,5440
2013/1/9,²ËÆÉ,2560.67,2478
2013/1/9,ÂÝÎÆ¸Ö,3782.94,3998
2013/1/9,¶¹Ò»,4520,4737
2013/1/9,¶¹ÓÍ,8925,8600
2013/1/9,¶¹ÆÉ,3858,3272
2013/1/9,Ç¦,14775,15000
2013/1/9,Í­,57560,58340
2013/1/9,ÂÁ,15050,15245
2013/1/9,Ð¿,15650,15415
2013/1/9,»Æ½ð,333.15,339.32
2013/1/10,PTA,8950,8566
2013/1/10,PVC,6482,6705
2013/1/10,ÆÕÂó,2520.83,2486
2013/1/10,ÃÞ»¨,19208.5,19265
2013/1/10,×ØéµÓÍ,6295,6726
2013/1/10,Ïð½º,25412.5,26205
2013/1/10,½¹Ì¿,1632.5,1809
2013/1/10,È¼ÓÍ,5107.5,5099
2013/1/10,ÓñÃ×,2343.18,2445
2013/1/10,²£Á§,1332.8,1463
2013/1/10,¼×´¼,2920,2826
2013/1/10,°×ÌÇ,5944,5659
2013/1/10,°×Òø,6131.67,6425
2013/1/10,Ïß²Ä,3616,4081
2013/1/10,¾ÛÒÒÏ©,11350,10735
2013/1/10,²ËÓÍ,10720,9964
2013/1/10,²Ë×Ñ,5347,5447
2013/1/10,²ËÆÉ,2560.67,2462
2013/1/10,ÂÝÎÆ¸Ö,3792.94,4020
2013/1/10,¶¹Ò»,4530,4750
2013/1/10,¶¹ÓÍ,8918.33,8562
2013/1/10,¶¹ÆÉ,3863,3268
2013/1/10,Ç¦,14775,15100
2013/1/10,Í­,57700,58780
2013/1/10,ÂÁ,15040,15270
2013/1/10,Ð¿,15700,15525
2013/1/10,»Æ½ð,332.83,338.68
2013/1/11,PTA,8900,8442
2013/1/11,PVC,6482,6645
2013/1/11,ÆÕÂó,2520.83,2486
2013/1/11,ÃÞ»¨,19232.8,19320
2013/1/11,×ØéµÓÍ,6295,6640
2013/1/11,Ïð½º,25412.5,25710
2013/1/11,½¹Ì¿,1632.5,1763
2013/1/11,È¼ÓÍ,5120,5060
2013/1/11,ÓñÃ×,2343.18,2438
2013/1/11,²£Á§,1332.8,1439
2013/1/11,¼×´¼,2900,2795
2013/1/11,°×ÌÇ,5944,5587
2013/1/11,°×Òø,6220,6469
2013/1/11,Ïß²Ä,3616,4002
2013/1/11,¾ÛÒÒÏ©,11350,10570
2013/1/11,²ËÓÍ,10720,9924
2013/1/11,²Ë×Ñ,5332,5432
2013/1/11,²ËÆÉ,2560.67,2509
2013/1/11,ÂÝÎÆ¸Ö,3788.24,3925
2013/1/11,¶¹Ò»,4530,4755
2013/1/11,¶¹ÓÍ,8918.33,8488
2013/1/11,¶¹ÆÉ,3863,3258
2013/1/11,Ç¦,14800,15070
2013/1/11,Í­,57950,58440
2013/1/11,ÂÁ,15060,15250
2013/1/11,Ð¿,15750,15455
2013/1/11,»Æ½ð,335.71,341.39
2013/1/14,PTA,8800,8526
2013/1/14,PVC,6481.14,6670
2013/1/14,ÆÕÂó,2524.55,2470
2013/1/14,ÃÞ»¨,19224.2,19380
2013/1/14,×ØéµÓÍ,6262.5,6698
2013/1/14,Ïð½º,25270.8,25840
2013/1/14,½¹Ì¿,1642.5,1826
2013/1/14,È¼ÓÍ,5120,5082
2013/1/14,ÓñÃ×,2347.73,2434
2013/1/14,²£Á§,1331.2,1502
2013/1/14,¼×´¼,2900,2808
2013/1/14,°×ÌÇ,5944,5578
2013/1/14,°×Òø,6181.67,6479
2013/1/14,Ïß²Ä,3615,3958
2013/1/14,¾ÛÒÒÏ©,11275,10650
2013/1/14,²ËÓÍ,10725,9994
2013/1/14,²Ë×Ñ,5365,5465
2013/1/14,²ËÆÉ,2565.33,2541
2013/1/14,ÂÝÎÆ¸Ö,3800.62,4004
2013/1/14,¶¹Ò»,4530,4806
2013/1/14,¶¹ÓÍ,8835,8530
2013/1/14,¶¹ÆÉ,3850,3361
2013/1/14,Ç¦,14750,14960
2013/1/14,Í­,57710,58520
2013/1/14,ÂÁ,15040,15235
2013/1/14,Ð¿,15650,15455
2013/1/14,»Æ½ð,334.6,340.35
2013/1/15,PTA,8800,8376
2013/1/15,PVC,6476.29,6635
2013/1/15,ÆÕÂó,2531.82,2463
2013/1/15,ÃÞ»¨,19223.2,19395
2013/1/15,×ØéµÓÍ,6275,6726
2013/1/15,Ïð½º,25237.5,25480
2013/1/15,½¹Ì¿,1655,1808
2013/1/15,È¼ÓÍ,5120,5092
2013/1/15,ÓñÃ×,2351.82,2434
2013/1/15,²£Á§,1332.8,1497
2013/1/15,¼×´¼,2900,2794
2013/1/15,°×ÌÇ,5934,5541
2013/1/15,°×Òø,6268.33,6545
2013/1/15,Ïß²Ä,3616,3956
2013/1/15,¾ÛÒÒÏ©,11208.3,10645
2013/1/15,²ËÓÍ,10725,10004
2013/1/15,²Ë×Ñ,5332,5432
2013/1/15,²ËÆÉ,2565.33,2562
2013/1/15,ÂÝÎÆ¸Ö,3799.38,3977
2013/1/15,¶¹Ò»,4530,4798
2013/1/15,¶¹ÓÍ,8875.83,8594
2013/1/15,¶¹ÆÉ,3898,3368
2013/1/15,Ç¦,14750,14850
2013/1/15,Í­,57560,57700
2013/1/15,ÂÁ,14950,15130
2013/1/15,Ð¿,15650,15175
2013/1/15,»Æ½ð,336,340.9
2013/1/16,PTA,8800,8392
2013/1/16,PVC,6475.43,6620
2013/1/16,ÆÕÂó,2534.55,2470
2013/1/16,ÃÞ»¨,19239.2,19540
2013/1/16,×ØéµÓÍ,6287.5,6776
2013/1/16,Ïð½º,25062.5,25495
2013/1/16,½¹Ì¿,1660,1787
2013/1/16,È¼ÓÍ,5137.5,5119
2013/1/16,ÓñÃ×,2359.09,2435
2013/1/16,²£Á§,1332.8,1500
2013/1/16,¼×´¼,2900,2786
2013/1/16,°×ÌÇ,5934,5548
2013/1/16,°×Òø,6351.67,6599
2013/1/16,Ïß²Ä,3608,3989
2013/1/16,¾ÛÒÒÏ©,11208.3,10635
2013/1/16,²ËÓÍ,10735,9998
2013/1/16,²Ë×Ñ,5344,5444
2013/1/16,²ËÆÉ,2580,2586
2013/1/16,ÂÝÎÆ¸Ö,3800,3934
2013/1/16,¶¹Ò»,4530,4813
2013/1/16,¶¹ÓÍ,8897.5,8642
2013/1/16,¶¹ÆÉ,3909,3405
2013/1/16,Ç¦,14750,15020
2013/1/16,Í­,57540,57940
2013/1/16,ÂÁ,14980,15155
2013/1/16,Ð¿,15600,15265
2013/1/16,»Æ½ð,337.75,343.5
2013/1/17,PTA,8750,8412
2013/1/17,PVC,6475.43,6620
2013/1/17,ÆÕÂó,2540.91,2474
2013/1/17,ÃÞ»¨,19261,19550
2013/1/17,×ØéµÓÍ,6287.5,6712
2013/1/17,Ïð½º,25004.2,25585
2013/1/17,½¹Ì¿,1660,1818
2013/1/17,È¼ÓÍ,5142.5,5089
2013/1/17,ÓñÃ×,2358.64,2431
2013/1/17,²£Á§,1332.8,1506
2013/1/17,¼×´¼,2923,2823
2013/1/17,°×ÌÇ,5934,5512
2013/1/17,°×Òø,6350,6580
2013/1/17,Ïß²Ä,3608.89,3989
2013/1/17,¾ÛÒÒÏ©,11208.3,10650
2013/1/17,²ËÓÍ,10735,9962
2013/1/17,²Ë×Ñ,5317,5417
2013/1/17,²ËÆÉ,2580,2571
2013/1/17,ÂÝÎÆ¸Ö,3798.12,3946
2013/1/17,¶¹Ò»,4530,4791
2013/1/17,¶¹ÓÍ,8907.5,8628
2013/1/17,¶¹ÆÉ,3912,3381
2013/1/17,Ç¦,14725,14970
2013/1/17,Í­,57315,57740
2013/1/17,ÂÁ,14940,15155
2013/1/17,Ð¿,15600,15265
2013/1/17,»Æ½ð,337,342.49
2013/1/18,PTA,8750,8560
2013/1/18,PVC,6476,6680
2013/1/18,ÆÕÂó,2546.36,2464
2013/1/18,ÃÞ»¨,19276.2,19600
2013/1/18,×ØéµÓÍ,6267.5,6746
2013/1/18,Ïð½º,25045.8,25960
2013/1/18,½¹Ì¿,1660,1865
2013/1/18,È¼ÓÍ,5142.5,5134
2013/1/18,ÓñÃ×,2363.18,2434
2013/1/18,²£Á§,1332.8,1496
2013/1/18,¼×´¼,3000,2934
2013/1/18,°×ÌÇ,5930,5527
2013/1/18,°×Òø,6401.67,6663
2013/1/18,Ïß²Ä,3598.57,3989
2013/1/18,¾ÛÒÒÏ©,11150,10780
2013/1/18,²ËÓÍ,10705,9988
2013/1/18,²Ë×Ñ,5334,5434
2013/1/18,²ËÆÉ,2580,2573
2013/1/18,ÂÝÎÆ¸Ö,3793.75,4002
2013/1/18,¶¹Ò»,4530,4816
2013/1/18,¶¹ÓÍ,8907.5,8678
2013/1/18,¶¹ÆÉ,3912,3376
2013/1/18,Ç¦,14750,15040
2013/1/18,Í­,57690,58380
2013/1/18,ÂÁ,14970,15190
2013/1/18,Ð¿,15700,15420
2013/1/18,»Æ½ð,338.55,344.28
2013/1/21,PTA,8800,8504
2013/1/21,PVC,6476,6670
2013/1/21,ÆÕÂó,2551.82,2469
2013/1/21,ÃÞ»¨,19274,19475
2013/1/21,×ØéµÓÍ,6317.5,6752
2013/1/21,Ïð½º,25150,25765
2013/1/21,½¹Ì¿,1660,1864
2013/1/21,È¼ÓÍ,5142.5,5169
2013/1/21,ÓñÃ×,2365.45,2427
2013/1/21,²£Á§,1337.6,1501
2013/1/21,¼×´¼,3010,2922
2013/1/21,°×ÌÇ,5924,5459
2013/1/21,°×Òø,6471.67,6651
2013/1/21,Ïß²Ä,3597.14,3989
2013/1/21,¾ÛÒÒÏ©,11150,10710
2013/1/21,²ËÓÍ,10705,10014
2013/1/21,²Ë×Ñ,5330,5430
2013/1/21,²ËÆÉ,2580,2573
2013/1/21,ÂÝÎÆ¸Ö,3788,3965
2013/1/21,¶¹Ò»,4530,4827
2013/1/21,¶¹ÓÍ,8923.33,8714
2013/1/21,¶¹ÆÉ,3929,3388
2013/1/21,Ç¦,14750,15040
2013/1/21,Í­,57740,58190
2013/1/21,ÂÁ,14970,15160
2013/1/21,Ð¿,15700,15365
2013/1/21,»Æ½ð,339.24,344.06
2013/1/22,PTA,8800,8440
2013/1/22,PVC,6476.57,6675
2013/1/22,ÆÕÂó,2551.82,2452
2013/1/22,ÃÞ»¨,19275.8,19505
2013/1/22,×ØéµÓÍ,6312.5,6818
2013/1/22,Ïð½º,25258.3,26110
2013/1/22,½¹Ì¿,1660,1871
2013/1/22,È¼ÓÍ,5145,5123
2013/1/22,ÓñÃ×,2366.36,2426
2013/1/22,²£Á§,1342.4,1490
2013/1/22,¼×´¼,3017,2917
2013/1/22,°×ÌÇ,5908,5457
2013/1/22,°×Òø,6466.67,6694
2013/1/22,Ïß²Ä,3600,3968
2013/1/22,¾ÛÒÒÏ©,11125,10755
2013/1/22,²ËÓÍ,10720,10026
2013/1/22,²Ë×Ñ,5328,5428
2013/1/22,²ËÆÉ,2580,2591
2013/1/22,ÂÝÎÆ¸Ö,3780.71,3987
2013/1/22,¶¹Ò»,4530,4844
2013/1/22,¶¹ÓÍ,8935.83,8848
2013/1/22,¶¹ÆÉ,3935,3426
2013/1/22,Ç¦,14750,15070
2013/1/22,Í­,57920,58690
2013/1/22,ÂÁ,14960,15175
2013/1/22,Ð¿,15700,15485
2013/1/22,»Æ½ð,339.55,345.5
2013/1/23,PTA,8700,8456
2013/1/23,PVC,6478.86,6680
2013/1/23,ÆÕÂó,2555,2455
2013/1/23,ÃÞ»¨,19278.5,19720
2013/1/23,×ØéµÓÍ,6312.5,6826
2013/1/23,Ïð½º,25258.3,26085
2013/1/23,½¹Ì¿,1660,1881
2013/1/23,È¼ÓÍ,5145,5115
2013/1/23,ÓñÃ×,2368.64,2427
2013/1/23,²£Á§,1342.4,1481
2013/1/23,¼×´¼,3050,2943
2013/1/23,°×ÌÇ,5900,5418
2013/1/23,°×Òø,6475,6686
2013/1/23,Ïß²Ä,3596.25,3975
2013/1/23,¾ÛÒÒÏ©,11033.3,10770
2013/1/23,²ËÓÍ,10720,10024
2013/1/23,²Ë×Ñ,5370,5470
2013/1/23,²ËÆÉ,2580,2576
2013/1/23,ÂÝÎÆ¸Ö,3780,4053
2013/1/23,¶¹Ò»,4530,4835
2013/1/23,¶¹ÓÍ,8944.17,8848
2013/1/23,¶¹ÆÉ,3952,3432
2013/1/23,Ç¦,14750,15110
2013/1/23,Í­,57980,58590
2013/1/23,ÂÁ,14960,15155
2013/1/23,Ð¿,15750,15545
2013/1/23,»Æ½ð,339.55,344.81
2013/1/24,PTA,8700,8488
2013/1/24,PVC,6480.86,6665
2013/1/24,ÆÕÂó,2564,2430
