date,close,铁矿：发货量：FMG→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：发货量：BHP→中国（周）,铁矿：出口数量合计：中国（月）,铁矿：出口金额合计：中国（月）,铁矿：进口数量合计：中国（月）,铁矿：进口金额合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：出口金额合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,烧结用矿粉：进口金额合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：出口金额合计：中国（月）,块矿：进口数量合计：中国（月）,块矿：进口金额合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口金额合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口金额合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：出口金额合计：中国（月）,铁精粉：进口数量合计：中国（月）,铁精粉：进口金额合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口金额合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口金额合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口金额初值：美元：中国（月）,铁矿：进口数量终值同比：中国（月）,铁矿：进口金额终值同比：美元：中国（月）,铁矿：进口数量终值：中国（月）,126家矿山企业（266座矿山）：铁精粉：产量：中国（周）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）
2018/1/2,543.5,314.7,618.37,809.6,544.4,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,266.5,71,67.96,34.21,31,14655.1,627,243,2086,11699.1,7930.68,3578.42,5678.34
2018/1/3,536,314.7,618.37,809.6,544.4,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,266.5,71,67.96,34.21,31,14655.1,627,243,2086,11699.1,7930.68,3578.42,5678.34
2018/1/4,543.5,314.7,618.37,809.6,544.4,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,266.5,71,67.96,34.21,31,14655.1,627,243,2086,11699.1,7930.68,3578.42,5678.34
2018/1/5,538.5,322.5,663.6,484.6,497.7,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,258.77,75,71.86,31.3,29,14923.2,565,223,2140,11995.2,8152.89,3613.45,5804.28
2018/1/8,555.5,322.5,663.6,484.6,497.7,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,258.77,75,71.86,31.3,29,14923.2,565,223,2140,11995.2,8152.89,3613.45,5804.28
2018/1/9,560.5,322.5,663.6,484.6,497.7,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,258.77,75,71.86,31.3,29,14923.2,565,223,2140,11995.2,8152.89,3613.45,5804.28
2018/1/10,557.5,322.5,663.6,484.6,497.7,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,258.77,75,71.86,31.3,29,14923.2,565,223,2140,11995.2,8152.89,3613.45,5804.28
2018/1/11,556,322.5,663.6,484.6,497.7,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,37.7,8956.31,879.31,856.29,2697.27,10922.4,258.77,75,71.86,31.3,29,14923.2,565,223,2140,11995.2,8152.89,3613.45,5804.28
2018/1/12,544,171.1,486.7,671.8,333.6,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,268.27,71.3,71.86,31.3,29,15197,570,226,2095,12306,8428.07,3618.78,5940.8
2018/1/15,536.5,171.1,486.7,671.8,333.6,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,268.27,71.3,71.86,31.3,29,15197,570,226,2095,12306,8428.07,3618.78,5940.8
2018/1/16,529.5,171.1,486.7,671.8,333.6,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,268.27,71.3,71.86,31.3,29,15197,570,226,2095,12306,8428.07,3618.78,5940.8
2018/1/17,531.5,171.1,486.7,671.8,333.6,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,268.27,71.3,71.86,31.3,29,15197,570,226,2095,12306,8428.07,3618.78,5940.8
2018/1/18,537,171.1,486.7,671.8,333.6,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,268.27,71.3,71.86,31.3,29,15197,570,226,2095,12306,8428.07,3618.78,5940.8
2018/1/19,543.5,352.9,404.3,523.5,424.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,251.85,70,73.02,35.48,34,15360.86,631,211,2151,12367.86,8529.56,3647.64,5753.4
2018/1/22,540.5,352.9,404.3,523.5,424.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,251.85,70,73.02,35.48,34,15360.86,631,211,2151,12367.86,8529.56,3647.64,5753.4
2018/1/23,521.5,352.9,404.3,523.5,424.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,251.85,70,73.02,35.48,34,15360.86,631,211,2151,12367.86,8529.56,3647.64,5753.4
2018/1/24,522,352.9,404.3,523.5,424.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,251.85,70,73.02,35.48,34,15360.86,631,211,2151,12367.86,8529.56,3647.64,5753.4
